pc_id,state,constituency_name,total_requests,approved,rejected,pending,objections_raised,objections_resolved,objections_pending,freeze_period_pending,avg_processing_time_days,officers_assigned,cases_per_officer,data_origin,anchor_level
PC199,Chhattisgarh,Chhattisgarh 136,49501,43021,3121,3359,2967,2501,466,1365,59.1,4,12375.2,synthetic,ECI_aggregate_estimate
PC200,Haryana,Haryana 137,51315,40246,4723,6346,1063,782,281,3053,37.2,3,17105.0,synthetic,ECI_aggregate_estimate
PC201,Uttarakhand,Uttarakhand 138,37028,32903,4422,0,2568,1797,771,0,64.9,9,4114.2,synthetic,ECI_aggregate_estimate
PC202,Himachal Pradesh,Himachal Pradesh 139,42288,32635,2808,6845,1889,1428,461,2725,57.3,12,3524.0,synthetic,ECI_aggregate_estimate
PC203,Tripura,Tripura 140,30935,27042,2240,1653,1246,935,311,1040,68.4,2,15467.5,synthetic,ECI_aggregate_estimate
PC204,Meghalaya,Meghalaya 141,39643,33816,1374,4453,1112,928,184,1999,79.6,6,6607.2,synthetic,ECI_aggregate_estimate
PC205,Manipur,Manipur 142,19250,14540,1178,3532,776,495,281,1643,38.7,10,1925.0,synthetic,ECI_aggregate_estimate
PC206,Nagaland,Nagaland 143,37886,31237,3718,2931,1580,964,616,1226,65.4,3,12628.7,synthetic,ECI_aggregate_estimate
PC207,Goa,Goa 144,31878,29259,1395,1224,1903,1360,543,678,43.5,5,6375.6,synthetic,ECI_aggregate_estimate
PC208,Arunachal Pradesh,Arunachal Pradesh 145,48053,41138,1955,4960,528,422,106,2390,77.5,9,5339.2,synthetic,ECI_aggregate_estimate
PC209,Mizoram,Mizoram 146,42792,38677,4156,0,3171,2377,794,0,44.9,10,4279.2,synthetic,ECI_aggregate_estimate
PC210,Sikkim,Sikkim 147,22857,19484,2522,851,1542,1340,202,488,37.9,10,2285.7,synthetic,ECI_aggregate_estimate
PC211,Jammu and Kashmir,Jammu and Kashmir 148,23328,19324,1691,2313,1823,1727,96,1412,60.6,4,5832.0,synthetic,ECI_aggregate_estimate
PC212,Ladakh,Ladakh 149,41697,37225,4130,342,782,517,265,159,44.9,11,3790.6,synthetic,ECI_aggregate_estimate
PC213,Uttar Pradesh,Uttar Pradesh 150,39288,31038,4608,3642,1035,808,227,2275,34.8,10,3928.8,synthetic,ECI_aggregate_estimate
PC214,Maharashtra,Maharashtra 151,11538,8891,1145,1502,117,93,24,838,57.7,3,3846.0,synthetic,ECI_aggregate_estimate
PC215,West Bengal,West Bengal 152,42457,33965,4629,3863,2667,1948,719,2641,36.1,5,8491.4,synthetic,ECI_aggregate_estimate
PC216,Bihar,Bihar 153,29444,25490,2180,1774,488,361,127,854,78.3,6,4907.3,synthetic,ECI_aggregate_estimate
PC217,Madhya Pradesh,Madhya Pradesh 154,33906,25630,1519,6757,1994,1766,228,4436,53.0,8,4238.2,synthetic,ECI_aggregate_estimate
PC218,Tamil Nadu,Tamil Nadu 155,11721,8829,380,2512,801,506,295,1691,69.6,7,1674.4,synthetic,ECI_aggregate_estimate
PC219,Rajasthan,Rajasthan 156,17309,15658,2074,0,1088,804,284,0,46.2,10,1730.9,synthetic,ECI_aggregate_estimate
PC220,Karnataka,Karnataka 157,25079,20598,2691,1790,1344,1091,253,1089,30.4,8,3134.9,synthetic,ECI_aggregate_estimate
PC221,Gujarat,Gujarat 158,26724,22446,3032,1246,329,239,90,832,66.6,8,3340.5,synthetic,ECI_aggregate_estimate
PC222,Andhra Pradesh,Andhra Pradesh 159,38407,28950,1562,7895,1852,1120,732,5485,66.0,11,3491.5,synthetic,ECI_aggregate_estimate
PC223,Odisha,Odisha 160,13343,12110,988,245,253,155,98,158,73.1,4,3335.8,synthetic,ECI_aggregate_estimate
PC224,Telangana,Telangana 161,24417,20812,1451,2154,1953,1439,514,1092,55.4,6,4069.5,synthetic,ECI_aggregate_estimate
PC225,Kerala,Kerala 162,23790,20281,1596,1913,1157,802,355,1139,36.8,7,3398.6,synthetic,ECI_aggregate_estimate
PC226,Jharkhand,Jharkhand 163,47110,42007,2348,2755,988,884,104,826,63.9,11,4282.7,synthetic,ECI_aggregate_estimate
PC227,Assam,Assam 164,53170,45591,5063,2516,747,664,83,935,86.6,10,5317.0,synthetic,ECI_aggregate_estimate
PC228,Punjab,Punjab 165,51262,46545,5741,0,2642,2267,375,0,47.1,4,12815.5,synthetic,ECI_aggregate_estimate
PC229,Chhattisgarh,Chhattisgarh 166,19985,18187,1532,266,319,231,88,152,32.2,7,2855.0,synthetic,ECI_aggregate_estimate
PC230,Haryana,Haryana 167,21637,19486,2234,0,381,258,123,0,57.2,5,4327.4,synthetic,ECI_aggregate_estimate
PC231,Uttarakhand,Uttarakhand 168,31567,24055,3774,3738,2296,1517,779,2577,82.0,7,4509.6,synthetic,ECI_aggregate_estimate
PC232,Himachal Pradesh,Himachal Pradesh 169,49792,44316,3636,1840,2189,1327,862,837,70.3,9,5532.4,synthetic,ECI_aggregate_estimate
PC233,Tripura,Tripura 170,23544,21497,2396,0,871,533,338,0,32.2,7,3363.4,synthetic,ECI_aggregate_estimate
PC234,Meghalaya,Meghalaya 171,25529,21179,2236,2114,779,704,75,695,56.5,8,3191.1,synthetic,ECI_aggregate_estimate
PC235,Manipur,Manipur 172,45999,35326,3666,7007,2868,2210,658,4163,51.7,5,9199.8,synthetic,ECI_aggregate_estimate
PC236,Nagaland,Nagaland 173,40089,32233,3346,4510,964,691,273,1919,83.6,2,20044.5,synthetic,ECI_aggregate_estimate
PC237,Goa,Goa 174,47457,35748,4139,7570,2100,1394,706,4486,70.0,7,6779.6,synthetic,ECI_aggregate_estimate
PC238,Arunachal Pradesh,Arunachal Pradesh 175,28790,24007,1728,3055,1515,1413,102,1955,60.0,8,3598.8,synthetic,ECI_aggregate_estimate
PC239,Mizoram,Mizoram 176,19932,16062,1693,2177,561,477,84,1490,43.3,6,3322.0,synthetic,ECI_aggregate_estimate
PC240,Sikkim,Sikkim 177,13242,12178,1067,0,453,296,157,0,72.9,3,4414.0,synthetic,ECI_aggregate_estimate
PC241,Jammu and Kashmir,Jammu and Kashmir 178,21710,17074,1927,2709,1557,1366,191,1390,50.4,2,10855.0,synthetic,ECI_aggregate_estimate
PC242,Ladakh,Ladakh 179,47039,41746,3313,1980,1919,1764,155,643,80.1,2,23519.5,synthetic,ECI_aggregate_estimate
PC243,Uttar Pradesh,Uttar Pradesh 180,50432,46138,4792,0,1020,612,408,0,64.9,6,8405.3,synthetic,ECI_aggregate_estimate
PC244,Maharashtra,Maharashtra 181,43312,34692,1336,7284,1812,1569,243,3579,55.9,4,10828.0,synthetic,ECI_aggregate_estimate
PC245,West Bengal,West Bengal 182,15132,11530,1040,2562,177,139,38,918,64.0,10,1513.2,synthetic,ECI_aggregate_estimate
PC246,Bihar,Bihar 183,42838,34318,1688,6832,2389,1781,608,4761,39.3,5,8567.6,synthetic,ECI_aggregate_estimate
PC247,Madhya Pradesh,Madhya Pradesh 184,23364,18718,2797,1849,1238,887,351,1202,43.2,7,3337.7,synthetic,ECI_aggregate_estimate
PC248,Tamil Nadu,Tamil Nadu 185,35524,27926,3847,3751,1957,1488,469,1250,42.8,12,2960.3,synthetic,ECI_aggregate_estimate
PC249,Rajasthan,Rajasthan 186,10937,9670,1243,24,863,606,257,7,53.9,7,1562.4,synthetic,ECI_aggregate_estimate
PC250,Karnataka,Karnataka 187,17091,15147,1661,283,198,178,20,112,54.7,4,4272.8,synthetic,ECI_aggregate_estimate
PC251,Gujarat,Gujarat 188,30247,27609,2114,524,2149,1976,173,308,67.8,8,3780.9,synthetic,ECI_aggregate_estimate
PC252,Andhra Pradesh,Andhra Pradesh 189,40436,30646,1925,7865,1137,915,222,3123,53.5,3,13478.7,synthetic,ECI_aggregate_estimate
PC253,Odisha,Odisha 190,20888,18826,1670,392,394,267,127,165,64.3,8,2611.0,synthetic,ECI_aggregate_estimate
PC254,Telangana,Telangana 191,39124,34632,1501,2991,2539,2184,355,1785,61.6,3,13041.3,synthetic,ECI_aggregate_estimate
PC255,Kerala,Kerala 192,30152,23161,2125,4866,635,522,113,1801,74.6,3,10050.7,synthetic,ECI_aggregate_estimate
PC256,Jharkhand,Jharkhand 193,16333,13795,1256,1282,605,465,140,875,61.9,4,4083.2,synthetic,ECI_aggregate_estimate
PC257,Assam,Assam 194,32502,29162,3496,0,2277,1507,770,0,70.5,10,3250.2,synthetic,ECI_aggregate_estimate
PC258,Punjab,Punjab 195,54828,47295,6141,1392,1689,1484,205,954,78.2,3,18276.0,synthetic,ECI_aggregate_estimate
PC259,Chhattisgarh,Chhattisgarh 196,40961,34740,4751,1470,3166,1939,1227,593,34.5,5,8192.2,synthetic,ECI_aggregate_estimate
PC260,Haryana,Haryana 197,35984,29185,3110,3689,1153,922,231,1202,57.4,8,4498.0,synthetic,ECI_aggregate_estimate
PC261,Uttarakhand,Uttarakhand 198,35391,26560,3511,5320,2155,1593,562,1886,38.0,12,2949.2,synthetic,ECI_aggregate_estimate
PC262,Himachal Pradesh,Himachal Pradesh 199,19704,17733,797,1174,348,314,34,735,39.9,10,1970.4,synthetic,ECI_aggregate_estimate
PC263,Tripura,Tripura 200,50918,40470,4336,6112,1173,961,212,3827,39.7,2,25459.0,synthetic,ECI_aggregate_estimate
PC264,Meghalaya,Meghalaya 201,42544,34843,1392,6309,2035,1387,648,4228,40.1,10,4254.4,synthetic,ECI_aggregate_estimate
PC265,Manipur,Manipur 202,20231,15381,1880,2970,276,260,16,1351,49.0,11,1839.2,synthetic,ECI_aggregate_estimate
PC266,Nagaland,Nagaland 203,46422,37202,4777,4443,1155,840,315,1632,37.4,6,7737.0,synthetic,ECI_aggregate_estimate
PC267,Goa,Goa 204,51540,46712,3611,1217,1828,1531,297,385,73.0,10,5154.0,synthetic,ECI_aggregate_estimate
PC268,Arunachal Pradesh,Arunachal Pradesh 205,25589,19618,2517,3454,892,754,138,1487,73.6,5,5117.8,synthetic,ECI_aggregate_estimate
PC269,Mizoram,Mizoram 206,48058,41539,1669,4850,1244,977,267,1869,47.4,2,24029.0,synthetic,ECI_aggregate_estimate
PC270,Sikkim,Sikkim 207,35751,31106,4200,445,1450,1183,267,277,55.8,12,2979.2,synthetic,ECI_aggregate_estimate
PC271,Jammu and Kashmir,Jammu and Kashmir 208,34894,30892,1213,2789,1824,1107,717,1627,61.5,11,3172.2,synthetic,ECI_aggregate_estimate
PC272,Ladakh,Ladakh 209,39220,29715,4427,5078,1797,1414,383,3418,67.5,11,3565.5,synthetic,ECI_aggregate_estimate
PC273,Uttar Pradesh,Uttar Pradesh 210,18896,14767,929,3200,948,568,380,1450,40.2,2,9448.0,synthetic,ECI_aggregate_estimate
PC274,Maharashtra,Maharashtra 211,39374,31134,3361,4879,1564,1251,313,3390,43.4,8,4921.8,synthetic,ECI_aggregate_estimate
PC275,West Bengal,West Bengal 212,27621,24089,2288,1244,1623,1519,104,703,31.7,12,2301.8,synthetic,ECI_aggregate_estimate
PC276,Bihar,Bihar 213,39957,36130,1443,2384,724,455,269,875,48.3,5,7991.4,synthetic,ECI_aggregate_estimate
PC277,Madhya Pradesh,Madhya Pradesh 214,25574,19820,983,4771,1888,1690,198,1661,73.6,9,2841.6,synthetic,ECI_aggregate_estimate
PC278,Tamil Nadu,Tamil Nadu 215,36172,31381,3616,1175,2182,1750,432,560,74.5,5,7234.4,synthetic,ECI_aggregate_estimate
PC279,Rajasthan,Rajasthan 216,33086,25441,1542,6103,2129,1968,161,3956,51.7,12,2757.2,synthetic,ECI_aggregate_estimate
PC280,Karnataka,Karnataka 217,23780,21557,2579,0,870,723,147,0,37.7,2,11890.0,synthetic,ECI_aggregate_estimate
PC281,Gujarat,Gujarat 218,17449,15368,827,1254,351,234,117,555,53.6,4,4362.2,synthetic,ECI_aggregate_estimate
PC282,Andhra Pradesh,Andhra Pradesh 219,25151,22739,1374,1038,2003,1291,712,648,69.4,12,2095.9,synthetic,ECI_aggregate_estimate
PC283,Odisha,Odisha 220,28145,21917,1817,4411,2111,1478,633,3019,74.9,5,5629.0,synthetic,ECI_aggregate_estimate
PC284,Telangana,Telangana 221,12491,9849,1105,1537,159,145,14,984,57.5,4,3122.8,synthetic,ECI_aggregate_estimate
PC285,Kerala,Kerala 222,46415,40843,5408,164,521,384,137,77,73.9,10,4641.5,synthetic,ECI_aggregate_estimate
PC286,Jharkhand,Jharkhand 223,46156,42178,2373,1605,2648,2032,616,749,60.8,4,11539.0,synthetic,ECI_aggregate_estimate
PC287,Assam,Assam 224,32299,24420,3826,4053,756,460,296,2731,73.9,11,2936.3,synthetic,ECI_aggregate_estimate
PC288,Punjab,Punjab 225,41975,36720,3612,1643,2950,2447,503,742,46.8,3,13991.7,synthetic,ECI_aggregate_estimate
PC289,Chhattisgarh,Chhattisgarh 226,58202,45408,2830,9964,1711,1317,394,5278,46.9,6,9700.3,synthetic,ECI_aggregate_estimate
PC290,Haryana,Haryana 227,32965,28512,1657,2796,1043,890,153,1307,49.7,11,2996.8,synthetic,ECI_aggregate_estimate
PC291,Uttarakhand,Uttarakhand 228,31461,25660,2427,3374,1794,1122,672,1149,71.7,7,4494.4,synthetic,ECI_aggregate_estimate
PC292,Himachal Pradesh,Himachal Pradesh 229,44046,40522,4473,0,2759,2078,681,0,33.7,12,3670.5,synthetic,ECI_aggregate_estimate
PC293,Tripura,Tripura 230,48726,36544,3447,8735,1952,1638,314,3311,33.4,8,6090.8,synthetic,ECI_aggregate_estimate
PC294,Meghalaya,Meghalaya 231,16651,14251,905,1495,349,261,88,888,65.4,11,1513.7,synthetic,ECI_aggregate_estimate
PC295,Manipur,Manipur 232,13326,11893,919,514,668,596,72,174,58.3,11,1211.5,synthetic,ECI_aggregate_estimate
PC296,Nagaland,Nagaland 233,28983,22321,976,5686,1713,1044,669,2969,70.3,5,5796.6,synthetic,ECI_aggregate_estimate
PC297,Goa,Goa 234,31565,25252,3252,3061,2414,1553,861,2118,41.1,3,10521.7,synthetic,ECI_aggregate_estimate
PC298,Arunachal Pradesh,Arunachal Pradesh 235,21339,17332,1834,2173,792,477,315,1225,50.9,9,2371.0,synthetic,ECI_aggregate_estimate
PC299,Mizoram,Mizoram 236,29842,25145,2781,1916,2132,1761,371,968,56.2,7,4263.1,synthetic,ECI_aggregate_estimate
PC300,Sikkim,Sikkim 237,21931,19646,2149,136,863,529,334,76,53.3,8,2741.4,synthetic,ECI_aggregate_estimate
PC301,Jammu and Kashmir,Jammu and Kashmir 238,42414,35757,1720,4937,2740,2134,606,1902,55.4,2,21207.0,synthetic,ECI_aggregate_estimate
PC302,Ladakh,Ladakh 239,38742,33792,4265,685,2553,2134,419,245,50.4,7,5534.6,synthetic,ECI_aggregate_estimate
PC303,Uttar Pradesh,Uttar Pradesh 240,18340,16631,1708,1,859,728,131,0,33.7,11,1667.3,synthetic,ECI_aggregate_estimate
PC304,Maharashtra,Maharashtra 241,40481,34340,1648,4493,2083,1435,648,1697,75.0,4,10120.2,synthetic,ECI_aggregate_estimate
PC305,West Bengal,West Bengal 242,55722,48155,3058,4509,1452,951,501,2264,80.9,4,13930.5,synthetic,ECI_aggregate_estimate
PC306,Bihar,Bihar 243,40556,36349,3766,441,2529,2075,454,252,57.6,11,3686.9,synthetic,ECI_aggregate_estimate
PC307,Madhya Pradesh,Madhya Pradesh 244,12249,9695,845,1709,433,369,64,540,64.9,4,3062.2,synthetic,ECI_aggregate_estimate
PC308,Tamil Nadu,Tamil Nadu 245,45038,39741,1924,3373,1909,1366,543,1976,72.7,2,22519.0,synthetic,ECI_aggregate_estimate
PC309,Rajasthan,Rajasthan 246,27059,23422,2611,1026,1008,696,312,420,55.4,3,9019.7,synthetic,ECI_aggregate_estimate
PC310,Karnataka,Karnataka 247,23993,20241,956,2796,629,566,63,1437,49.7,4,5998.2,synthetic,ECI_aggregate_estimate
PC311,Gujarat,Gujarat 248,51937,44744,3132,4061,3444,2105,1339,1999,73.5,11,4721.5,synthetic,ECI_aggregate_estimate
PC312,Andhra Pradesh,Andhra Pradesh 249,35621,30631,4068,922,1435,965,470,392,34.2,10,3562.1,synthetic,ECI_aggregate_estimate
PC313,Odisha,Odisha 250,20315,16835,1415,2065,777,515,262,822,50.3,5,4063.0,synthetic,ECI_aggregate_estimate
PC314,Telangana,Telangana 251,50384,44582,2121,3681,2146,1986,160,1553,46.0,5,10076.8,synthetic,ECI_aggregate_estimate
PC315,Kerala,Kerala 252,15876,13097,1293,1486,1092,982,110,800,59.6,7,2268.0,synthetic,ECI_aggregate_estimate
PC316,Jharkhand,Jharkhand 253,56489,45036,6380,5073,4264,3206,1058,3192,67.8,9,6276.6,synthetic,ECI_aggregate_estimate
PC317,Assam,Assam 254,20865,16417,1489,2959,1146,869,277,1158,39.7,6,3477.5,synthetic,ECI_aggregate_estimate
PC318,Punjab,Punjab 255,53213,43884,5145,4184,4149,3250,899,1788,38.6,8,6651.6,synthetic,ECI_aggregate_estimate
PC319,Chhattisgarh,Chhattisgarh 256,46138,34996,1914,9228,2266,1459,807,6340,53.5,3,15379.3,synthetic,ECI_aggregate_estimate
PC320,Haryana,Haryana 257,56088,47775,2902,5411,1714,1463,251,2643,47.5,12,4674.0,synthetic,ECI_aggregate_estimate
PC321,Uttarakhand,Uttarakhand 258,43073,33993,5168,3912,962,577,385,2224,65.6,2,21536.5,synthetic,ECI_aggregate_estimate
PC322,Himachal Pradesh,Himachal Pradesh 259,56593,51256,4476,861,767,718,49,438,46.2,3,18864.3,synthetic,ECI_aggregate_estimate
PC323,Tripura,Tripura 260,38195,29803,4232,4160,1099,894,205,2389,46.3,9,4243.9,synthetic,ECI_aggregate_estimate
PC324,Meghalaya,Meghalaya 261,29151,23650,3201,2300,651,525,126,1443,55.0,2,14575.5,synthetic,ECI_aggregate_estimate
PC325,Manipur,Manipur 262,57093,45751,2531,8811,2614,1816,798,2685,83.2,7,8156.1,synthetic,ECI_aggregate_estimate
PC326,Nagaland,Nagaland 263,15445,11771,1162,2512,526,345,181,991,75.6,6,2574.2,synthetic,ECI_aggregate_estimate
PC327,Goa,Goa 264,35277,29468,1337,4472,2675,1680,995,1512,53.9,4,8819.2,synthetic,ECI_aggregate_estimate
PC328,Arunachal Pradesh,Arunachal Pradesh 265,14074,11973,518,1583,1117,826,291,797,65.3,12,1172.8,synthetic,ECI_aggregate_estimate
PC329,Mizoram,Mizoram 266,37103,29368,3876,3859,2920,2453,467,1929,33.4,3,12367.7,synthetic,ECI_aggregate_estimate
PC330,Sikkim,Sikkim 267,24340,20383,2472,1485,462,329,133,674,66.7,4,6085.0,synthetic,ECI_aggregate_estimate
PC331,Jammu and Kashmir,Jammu and Kashmir 268,46500,41598,4022,880,1677,1280,397,486,66.2,10,4650.0,synthetic,ECI_aggregate_estimate
PC332,Ladakh,Ladakh 269,11606,9292,1278,1036,450,318,132,310,36.9,2,5803.0,synthetic,ECI_aggregate_estimate
PC333,Uttar Pradesh,Uttar Pradesh 270,52830,46717,3846,2267,1529,1332,197,968,72.7,8,6603.8,synthetic,ECI_aggregate_estimate
PC334,Maharashtra,Maharashtra 271,45786,37515,4961,3310,1670,1370,300,1886,78.0,4,11446.5,synthetic,ECI_aggregate_estimate
PC335,West Bengal,West Bengal 272,56908,44451,5372,7085,3074,2147,927,2583,64.8,3,18969.3,synthetic,ECI_aggregate_estimate
PC336,Bihar,Bihar 273,32900,29291,1902,1707,724,637,87,736,66.6,8,4112.5,synthetic,ECI_aggregate_estimate
PC337,Madhya Pradesh,Madhya Pradesh 274,19271,16869,2204,198,904,798,106,109,41.6,5,3854.2,synthetic,ECI_aggregate_estimate
PC338,Tamil Nadu,Tamil Nadu 275,51405,44075,5038,2292,2682,2128,554,1516,58.9,11,4673.2,synthetic,ECI_aggregate_estimate
PC339,Rajasthan,Rajasthan 276,41667,34445,1915,5307,2202,1971,231,3170,64.0,12,3472.2,synthetic,ECI_aggregate_estimate
PC340,Karnataka,Karnataka 277,45800,41358,5025,0,3043,2249,794,0,47.5,10,4580.0,synthetic,ECI_aggregate_estimate
PC341,Gujarat,Gujarat 278,51082,46762,2492,1828,1333,1113,220,905,78.2,4,12770.5,synthetic,ECI_aggregate_estimate
PC342,Andhra Pradesh,Andhra Pradesh 279,12537,10419,948,1170,222,133,89,789,61.1,12,1044.8,synthetic,ECI_aggregate_estimate
PC343,Odisha,Odisha 280,39361,34409,3148,1804,2071,1325,746,1134,38.5,10,3936.1,synthetic,ECI_aggregate_estimate
PC344,Telangana,Telangana 281,35703,31032,2113,2558,974,821,153,1116,65.6,11,3245.7,synthetic,ECI_aggregate_estimate
PC345,Kerala,Kerala 282,50033,40277,3332,6424,1165,944,221,1963,59.9,9,5559.2,synthetic,ECI_aggregate_estimate
PC346,Jharkhand,Jharkhand 283,33619,28525,2135,2959,920,798,122,931,70.6,10,3361.9,synthetic,ECI_aggregate_estimate
PC347,Assam,Assam 284,20517,17780,1812,925,1470,920,550,588,41.9,10,2051.7,synthetic,ECI_aggregate_estimate
PC348,Punjab,Punjab 285,39121,32413,1371,5337,1797,1369,428,2800,37.4,11,3556.5,synthetic,ECI_aggregate_estimate
PC349,Chhattisgarh,Chhattisgarh 286,12165,9723,577,1865,131,116,15,701,38.6,9,1351.7,synthetic,ECI_aggregate_estimate
PC350,Haryana,Haryana 287,20598,16463,1970,2165,722,583,139,1201,29.9,11,1872.5,synthetic,ECI_aggregate_estimate
PC351,Uttarakhand,Uttarakhand 288,13348,10769,1235,1344,967,642,325,758,58.4,8,1668.5,synthetic,ECI_aggregate_estimate
PC352,Himachal Pradesh,Himachal Pradesh 289,43164,39163,4996,0,1302,781,521,0,75.2,11,3924.0,synthetic,ECI_aggregate_estimate
PC353,Tripura,Tripura 290,49600,37345,5518,6737,1565,1207,358,3226,74.9,8,6200.0,synthetic,ECI_aggregate_estimate
PC354,Meghalaya,Meghalaya 291,29677,26097,2143,1437,959,613,346,556,43.7,2,14838.5,synthetic,ECI_aggregate_estimate
PC355,Manipur,Manipur 292,25123,20136,1668,3319,339,282,57,1761,65.7,4,6280.8,synthetic,ECI_aggregate_estimate
PC356,Nagaland,Nagaland 293,24687,19110,940,4637,1497,1203,294,2262,51.0,4,6171.8,synthetic,ECI_aggregate_estimate
PC357,Goa,Goa 294,29784,25421,1076,3287,1504,1165,339,2094,54.4,6,4964.0,synthetic,ECI_aggregate_estimate
PC358,Arunachal Pradesh,Arunachal Pradesh 295,47290,39347,4948,2995,1421,855,566,1580,40.4,7,6755.7,synthetic,ECI_aggregate_estimate
PC359,Mizoram,Mizoram 296,44867,39000,4868,999,1205,1096,109,552,62.8,4,11216.8,synthetic,ECI_aggregate_estimate
PC360,Sikkim,Sikkim 297,29067,26142,2034,891,1748,1153,595,615,72.1,7,4152.4,synthetic,ECI_aggregate_estimate
PC361,Jammu and Kashmir,Jammu and Kashmir 298,43745,35828,3799,4118,781,573,208,2539,35.6,2,21872.5,synthetic,ECI_aggregate_estimate
PC362,Ladakh,Ladakh 299,50156,38407,4803,6946,1444,1046,398,4249,51.4,6,8359.3,synthetic,ECI_aggregate_estimate
PC363,Uttar Pradesh,Uttar Pradesh 300,22978,18625,2219,2134,1464,996,468,867,64.3,5,4595.6,synthetic,ECI_aggregate_estimate
PC364,Maharashtra,Maharashtra 301,28987,22149,2853,3985,1608,1491,117,2290,60.5,4,7246.8,synthetic,ECI_aggregate_estimate
PC365,West Bengal,West Bengal 302,45585,38475,5430,1680,2727,2289,438,959,43.1,6,7597.5,synthetic,ECI_aggregate_estimate
PC366,Bihar,Bihar 303,33866,30734,1607,1525,2434,1947,487,946,37.6,5,6773.2,synthetic,ECI_aggregate_estimate
PC367,Madhya Pradesh,Madhya Pradesh 304,12949,10804,1112,1033,295,198,97,618,37.0,11,1177.2,synthetic,ECI_aggregate_estimate
PC368,Tamil Nadu,Tamil Nadu 305,37212,30684,4289,2239,2778,1775,1003,1019,69.6,9,4134.7,synthetic,ECI_aggregate_estimate
PC369,Rajasthan,Rajasthan 306,29897,26022,3331,544,646,460,186,236,49.0,4,7474.2,synthetic,ECI_aggregate_estimate
PC370,Karnataka,Karnataka 307,45896,40165,2405,3326,3202,2176,1026,1756,42.8,9,5099.6,synthetic,ECI_aggregate_estimate
PC371,Gujarat,Gujarat 308,24630,19479,1311,3840,1459,911,548,2255,67.8,11,2239.1,synthetic,ECI_aggregate_estimate
PC372,Andhra Pradesh,Andhra Pradesh 309,45908,36766,2995,6147,2309,2133,176,2919,69.5,7,6558.3,synthetic,ECI_aggregate_estimate
PC373,Odisha,Odisha 310,19066,16875,982,1209,517,329,188,688,75.2,2,9533.0,synthetic,ECI_aggregate_estimate
PC374,Telangana,Telangana 311,22057,19725,2158,174,1226,982,244,73,77.9,3,7352.3,synthetic,ECI_aggregate_estimate
PC375,Kerala,Kerala 312,12769,9890,1362,1517,1009,885,124,476,51.9,9,1418.8,synthetic,ECI_aggregate_estimate
PC376,Jharkhand,Jharkhand 313,12846,10357,1518,971,890,649,241,296,65.1,5,2569.2,synthetic,ECI_aggregate_estimate
PC377,Assam,Assam 314,44045,35550,2723,5772,1730,1476,254,3906,68.0,7,6292.1,synthetic,ECI_aggregate_estimate
PC378,Punjab,Punjab 315,23225,20250,2659,316,509,476,33,111,43.5,7,3317.9,synthetic,ECI_aggregate_estimate
PC379,Chhattisgarh,Chhattisgarh 316,39992,35144,4017,831,1827,1114,713,372,44.6,11,3635.6,synthetic,ECI_aggregate_estimate
PC380,Haryana,Haryana 317,40011,33712,2522,3777,1595,1320,275,1623,83.6,11,3637.4,synthetic,ECI_aggregate_estimate
PC381,Uttarakhand,Uttarakhand 318,51679,41805,4851,5023,2125,1898,227,1878,62.8,9,5742.1,synthetic,ECI_aggregate_estimate
PC382,Himachal Pradesh,Himachal Pradesh 319,34986,27988,2907,4091,1754,1372,382,1752,82.4,3,11662.0,synthetic,ECI_aggregate_estimate
PC383,Tripura,Tripura 320,31388,28307,1247,1834,1684,1498,186,588,54.1,5,6277.6,synthetic,ECI_aggregate_estimate
PC384,Meghalaya,Meghalaya 321,12133,11121,924,88,334,285,49,42,44.8,12,1011.1,synthetic,ECI_aggregate_estimate
PC385,Manipur,Manipur 322,44731,37569,2170,4992,535,413,122,3259,77.0,12,3727.6,synthetic,ECI_aggregate_estimate
PC386,Nagaland,Nagaland 323,41158,32079,3052,6027,1515,1362,153,4010,84.5,9,4573.1,synthetic,ECI_aggregate_estimate
PC387,Goa,Goa 324,22535,18638,1069,2828,1371,1118,253,919,79.9,5,4507.0,synthetic,ECI_aggregate_estimate
PC388,Arunachal Pradesh,Arunachal Pradesh 325,34346,26589,2596,5161,2589,2265,324,2459,53.6,5,6869.2,synthetic,ECI_aggregate_estimate
PC389,Mizoram,Mizoram 326,51376,45178,5729,469,3451,3105,346,271,54.2,12,4281.3,synthetic,ECI_aggregate_estimate
PC390,Sikkim,Sikkim 327,16613,12985,1472,2156,507,420,87,733,43.9,11,1510.3,synthetic,ECI_aggregate_estimate
PC391,Jammu and Kashmir,Jammu and Kashmir 328,17400,14416,1984,1000,289,188,101,410,46.6,4,4350.0,synthetic,ECI_aggregate_estimate
PC392,Ladakh,Ladakh 329,22621,20196,1731,694,1487,1236,251,349,39.8,10,2262.1,synthetic,ECI_aggregate_estimate
PC393,Uttar Pradesh,Uttar Pradesh 330,25590,20174,2173,3243,778,515,263,1267,61.4,4,6397.5,synthetic,ECI_aggregate_estimate
PC394,Maharashtra,Maharashtra 331,47003,41903,5218,0,2655,1876,779,0,59.1,8,5875.4,synthetic,ECI_aggregate_estimate
PC395,West Bengal,West Bengal 332,59073,45958,4965,8150,1981,1210,771,3413,81.8,8,7384.1,synthetic,ECI_aggregate_estimate
PC396,Bihar,Bihar 333,26248,19998,885,5365,1456,1110,346,2001,50.1,9,2916.4,synthetic,ECI_aggregate_estimate
