pc_id,state,constituency_name,total_registered_voters,male_voters,female_voters,age_18_25,age_26_40,age_41_60,age_60_plus,literacy_rate_percent,last_election_turnout_percent,data_origin,anchor_level
PC203,Tripura,Tripura 140,3049486,1497951,1551535,621716,1032316,862400,533054,65.18,47.21,synthetic,ECI_aggregate_estimate
PC204,Meghalaya,Meghalaya 141,1567168,792460,774708,243582,474006,458410,391170,68.57,75.8,synthetic,ECI_aggregate_estimate
PC205,Manipur,Manipur 142,1606752,853887,752865,334621,533887,519009,219235,56.25,77.73,synthetic,ECI_aggregate_estimate
PC206,Nagaland,Nagaland 143,2652091,1301236,1350855,566159,893375,850133,342424,88.6,75.62,synthetic,ECI_aggregate_estimate
PC207,Goa,Goa 144,2361522,1169593,1191929,420633,744166,807054,389669,79.3,65.4,synthetic,ECI_aggregate_estimate
PC208,Arunachal Pradesh,Arunachal Pradesh 145,1338386,675721,662665,260188,486777,409432,181989,85.27,81.45,synthetic,ECI_aggregate_estimate
PC209,Mizoram,Mizoram 146,2561221,1281745,1279476,438092,872524,786341,464264,58.52,45.12,synthetic,ECI_aggregate_estimate
PC210,Sikkim,Sikkim 147,1500895,726200,774695,289120,491552,487521,232702,55.27,78.27,synthetic,ECI_aggregate_estimate
PC211,Jammu and Kashmir,Jammu and Kashmir 148,1032311,537257,495054,227087,374082,318957,112185,55.79,49.1,synthetic,ECI_aggregate_estimate
PC212,Ladakh,Ladakh 149,3196502,1719070,1477432,487741,1213481,1094953,400327,87.37,52.84,synthetic,ECI_aggregate_estimate
PC213,Uttar Pradesh,Uttar Pradesh 150,3044224,1563007,1481217,508314,938467,907322,690121,69.39,65.91,synthetic,ECI_aggregate_estimate
PC214,Maharashtra,Maharashtra 151,3138030,1560345,1577685,592518,1007307,972287,565918,67.51,57.81,synthetic,ECI_aggregate_estimate
PC215,West Bengal,West Bengal 152,1906602,938364,968238,315493,578725,539454,472930,78.83,76.94,synthetic,ECI_aggregate_estimate
PC216,Bihar,Bihar 153,2043657,1069208,974449,374394,771265,617095,280903,85.0,78.58,synthetic,ECI_aggregate_estimate
PC217,Madhya Pradesh,Madhya Pradesh 154,2215281,1168239,1047042,392338,795224,722144,305575,86.43,71.61,synthetic,ECI_aggregate_estimate
PC218,Tamil Nadu,Tamil Nadu 155,2422592,1282051,1140541,516034,836817,813997,255744,64.89,56.6,synthetic,ECI_aggregate_estimate
PC219,Rajasthan,Rajasthan 156,2986809,1525670,1461139,636404,1090500,889706,370199,78.47,80.87,synthetic,ECI_aggregate_estimate
PC220,Karnataka,Karnataka 157,1972278,961040,1011238,344181,704559,588612,334926,79.78,74.83,synthetic,ECI_aggregate_estimate
PC221,Gujarat,Gujarat 158,1498881,757398,741483,312756,491271,483116,211738,78.79,73.44,synthetic,ECI_aggregate_estimate
PC222,Andhra Pradesh,Andhra Pradesh 159,1593127,834266,758861,331874,485993,471620,303640,60.11,84.2,synthetic,ECI_aggregate_estimate
PC223,Odisha,Odisha 160,1244971,616066,628905,262877,381934,360422,239738,89.37,73.15,synthetic,ECI_aggregate_estimate
PC224,Telangana,Telangana 161,3153280,1561079,1592201,574600,1105973,1101318,371389,63.37,75.7,synthetic,ECI_aggregate_estimate
PC225,Kerala,Kerala 162,926228,473650,452578,165062,337993,307977,115196,79.42,61.13,synthetic,ECI_aggregate_estimate
PC226,Jharkhand,Jharkhand 163,2662344,1394237,1268107,426657,822207,801277,612203,67.43,54.0,synthetic,ECI_aggregate_estimate
PC227,Assam,Assam 164,3135173,1557951,1577222,687937,1064348,1024295,358593,86.65,47.44,synthetic,ECI_aggregate_estimate
PC228,Punjab,Punjab 165,1227824,646497,581327,253602,385217,363453,225552,70.99,57.7,synthetic,ECI_aggregate_estimate
PC229,Chhattisgarh,Chhattisgarh 166,1285442,652609,632833,268525,475907,392355,148655,68.1,72.53,synthetic,ECI_aggregate_estimate
PC230,Haryana,Haryana 167,954542,508600,445942,185183,324538,330095,114726,64.76,51.86,synthetic,ECI_aggregate_estimate
PC231,Uttarakhand,Uttarakhand 168,1867252,908403,958849,361418,703656,605967,196211,86.2,56.66,synthetic,ECI_aggregate_estimate
PC232,Himachal Pradesh,Himachal Pradesh 169,2248959,1102257,1146702,470365,788554,768706,221334,78.53,49.9,synthetic,ECI_aggregate_estimate
PC233,Tripura,Tripura 170,2516598,1335689,1180909,440748,823654,858523,393673,61.8,51.52,synthetic,ECI_aggregate_estimate
PC234,Meghalaya,Meghalaya 171,2521245,1255381,1265864,515719,888637,818736,298153,81.41,48.93,synthetic,ECI_aggregate_estimate
PC235,Manipur,Manipur 172,1061855,514655,547200,176055,387410,325168,173222,90.77,71.8,synthetic,ECI_aggregate_estimate
PC236,Nagaland,Nagaland 173,1333902,664079,669823,219463,470866,433968,209605,90.34,71.8,synthetic,ECI_aggregate_estimate
PC237,Goa,Goa 174,2697361,1385873,1311488,418548,928431,758479,591903,56.22,45.39,synthetic,ECI_aggregate_estimate
PC238,Arunachal Pradesh,Arunachal Pradesh 175,1822004,958905,863099,335633,625257,556978,304136,70.53,64.38,synthetic,ECI_aggregate_estimate
PC239,Mizoram,Mizoram 176,1215150,646078,569072,190861,432555,420545,171189,76.76,52.38,synthetic,ECI_aggregate_estimate
PC240,Sikkim,Sikkim 177,939303,480418,458885,173613,306315,290932,168443,69.55,70.19,synthetic,ECI_aggregate_estimate
PC241,Jammu and Kashmir,Jammu and Kashmir 178,1445785,721401,724384,291500,521874,466016,166395,67.23,49.44,synthetic,ECI_aggregate_estimate
PC242,Ladakh,Ladakh 179,2695170,1402310,1292860,556999,958441,915799,263931,69.3,68.13,synthetic,ECI_aggregate_estimate
PC243,Uttar Pradesh,Uttar Pradesh 180,1120093,538567,581526,209476,377426,354160,179031,64.77,46.79,synthetic,ECI_aggregate_estimate
PC244,Maharashtra,Maharashtra 181,3100899,1499615,1601284,581272,1014521,872392,632714,79.7,51.35,synthetic,ECI_aggregate_estimate
PC245,West Bengal,West Bengal 182,2924164,1491437,1432727,592677,1047341,991319,292827,77.37,64.37,synthetic,ECI_aggregate_estimate
PC246,Bihar,Bihar 183,1151431,560258,591173,176815,354900,372194,247522,94.9,59.32,synthetic,ECI_aggregate_estimate
PC247,Madhya Pradesh,Madhya Pradesh 184,1532020,786002,746018,322183,565240,499340,145257,65.14,79.77,synthetic,ECI_aggregate_estimate
PC248,Tamil Nadu,Tamil Nadu 185,1387896,676213,711683,219829,478212,401390,288465,94.9,83.74,synthetic,ECI_aggregate_estimate
PC249,Rajasthan,Rajasthan 186,1859856,1001411,858445,316175,610096,589259,344326,67.23,71.0,synthetic,ECI_aggregate_estimate
PC250,Karnataka,Karnataka 187,2023213,1063130,960083,322299,625158,622026,453730,75.66,81.34,synthetic,ECI_aggregate_estimate
PC251,Gujarat,Gujarat 188,3075104,1507967,1567137,560742,1041568,981669,491125,73.6,72.3,synthetic,ECI_aggregate_estimate
PC252,Andhra Pradesh,Andhra Pradesh 189,1120129,561446,558683,185368,396663,345759,192339,67.5,61.41,synthetic,ECI_aggregate_estimate
PC253,Odisha,Odisha 190,1579184,824924,754260,269235,552006,490203,267740,64.22,48.54,synthetic,ECI_aggregate_estimate
PC254,Telangana,Telangana 191,2189557,1158622,1030935,386283,744864,631053,427357,68.96,75.58,synthetic,ECI_aggregate_estimate
PC255,Kerala,Kerala 192,2744703,1462734,1281969,568321,855331,783813,537238,61.6,55.69,synthetic,ECI_aggregate_estimate
PC256,Jharkhand,Jharkhand 193,2084122,1031723,1052399,346389,728785,719970,288978,63.16,62.58,synthetic,ECI_aggregate_estimate
PC257,Assam,Assam 194,2626770,1385508,1241262,443711,801923,763481,617655,88.75,67.4,synthetic,ECI_aggregate_estimate
PC258,Punjab,Punjab 195,2973383,1572392,1400991,629541,928154,971209,444479,68.12,57.42,synthetic,ECI_aggregate_estimate
PC259,Chhattisgarh,Chhattisgarh 196,1958448,1034028,924420,430018,630714,658858,238858,85.96,47.87,synthetic,ECI_aggregate_estimate
PC260,Haryana,Haryana 197,1460737,748427,712310,226494,470361,468046,295836,77.69,62.86,synthetic,ECI_aggregate_estimate
PC261,Uttarakhand,Uttarakhand 198,1022093,519165,502928,195219,330727,290974,205173,60.83,68.74,synthetic,ECI_aggregate_estimate
PC262,Himachal Pradesh,Himachal Pradesh 199,2160660,1051666,1108994,337203,664626,751909,406922,88.42,65.17,synthetic,ECI_aggregate_estimate
PC263,Tripura,Tripura 200,3056219,1643655,1412564,605838,1047213,905763,497405,74.63,64.56,synthetic,ECI_aggregate_estimate
PC264,Meghalaya,Meghalaya 201,1732534,886947,845587,358420,557687,519760,296667,77.59,62.15,synthetic,ECI_aggregate_estimate
PC265,Manipur,Manipur 202,2079454,1084055,995399,438546,687650,701755,251503,92.58,57.75,synthetic,ECI_aggregate_estimate
PC266,Nagaland,Nagaland 203,3128941,1664885,1464056,620383,1003944,895189,609425,66.55,65.86,synthetic,ECI_aggregate_estimate
PC267,Goa,Goa 204,1018280,510246,508034,169283,338532,310105,200360,74.81,82.69,synthetic,ECI_aggregate_estimate
PC268,Arunachal Pradesh,Arunachal Pradesh 205,1892001,1018716,873285,388661,599790,617516,286034,91.62,82.76,synthetic,ECI_aggregate_estimate
PC269,Mizoram,Mizoram 206,2832922,1454102,1378820,504605,930334,849876,548107,92.92,45.26,synthetic,ECI_aggregate_estimate
PC270,Sikkim,Sikkim 207,1517203,794143,723060,261404,480122,454788,320889,60.61,84.8,synthetic,ECI_aggregate_estimate
PC271,Jammu and Kashmir,Jammu and Kashmir 208,2586670,1251287,1335383,441713,856336,776455,512166,79.73,58.71,synthetic,ECI_aggregate_estimate
PC272,Ladakh,Ladakh 209,1618678,830908,787770,338629,494894,491989,293166,60.14,71.64,synthetic,ECI_aggregate_estimate
PC273,Uttar Pradesh,Uttar Pradesh 210,2676876,1383723,1293153,475626,909767,753603,537880,85.73,82.61,synthetic,ECI_aggregate_estimate
PC274,Maharashtra,Maharashtra 211,1227153,627096,600057,229389,413383,421221,163160,55.5,77.63,synthetic,ECI_aggregate_estimate
PC275,West Bengal,West Bengal 212,2281814,1127870,1153944,390980,855877,790389,244568,94.36,76.11,synthetic,ECI_aggregate_estimate
PC276,Bihar,Bihar 213,1423271,701635,721636,285126,520961,461305,155879,71.8,60.2,synthetic,ECI_aggregate_estimate
PC277,Madhya Pradesh,Madhya Pradesh 214,3103373,1501919,1601454,466899,983361,1028744,624369,58.21,70.64,synthetic,ECI_aggregate_estimate
PC278,Tamil Nadu,Tamil Nadu 215,2155369,1098720,1056649,452281,659159,706749,337180,57.1,67.91,synthetic,ECI_aggregate_estimate
PC279,Rajasthan,Rajasthan 216,2702385,1415981,1286404,484017,881649,817632,519087,75.56,45.1,synthetic,ECI_aggregate_estimate
PC280,Karnataka,Karnataka 217,941513,502547,438966,159334,355989,286255,139935,93.2,52.94,synthetic,ECI_aggregate_estimate
PC281,Gujarat,Gujarat 218,1436214,749329,686885,249565,502674,476803,207172,59.67,66.1,synthetic,ECI_aggregate_estimate
PC282,Andhra Pradesh,Andhra Pradesh 219,1974475,1057994,916481,345170,628877,592188,408240,57.9,81.93,synthetic,ECI_aggregate_estimate
PC283,Odisha,Odisha 220,1942421,1008450,933971,391105,648824,620556,281936,59.25,69.7,synthetic,ECI_aggregate_estimate
PC284,Telangana,Telangana 221,1399708,751206,648502,224325,480420,472592,222371,79.3,69.14,synthetic,ECI_aggregate_estimate
PC285,Kerala,Kerala 222,2398194,1232002,1166192,495187,899228,749733,254046,83.65,48.35,synthetic,ECI_aggregate_estimate
PC286,Jharkhand,Jharkhand 223,1070921,565902,505019,170368,357315,364208,179030,56.86,60.2,synthetic,ECI_aggregate_estimate
PC287,Assam,Assam 224,951596,496314,455282,197214,316312,310587,127483,80.13,81.2,synthetic,ECI_aggregate_estimate
PC288,Punjab,Punjab 225,2240189,1129984,1110205,378978,821700,642929,396582,94.68,50.85,synthetic,ECI_aggregate_estimate
PC289,Chhattisgarh,Chhattisgarh 226,921643,461646,459997,150671,291693,295992,183287,94.71,83.2,synthetic,ECI_aggregate_estimate
PC290,Haryana,Haryana 227,2988024,1551169,1436855,632787,1048939,1034708,271590,64.87,76.24,synthetic,ECI_aggregate_estimate
PC291,Uttarakhand,Uttarakhand 228,1561424,809049,752375,306974,560915,523052,170483,87.16,60.92,synthetic,ECI_aggregate_estimate
PC292,Himachal Pradesh,Himachal Pradesh 229,2757058,1446973,1310085,585297,884960,862874,423927,58.59,58.95,synthetic,ECI_aggregate_estimate
PC293,Tripura,Tripura 230,2799714,1366776,1432938,424747,847102,805695,722170,84.56,66.22,synthetic,ECI_aggregate_estimate
PC294,Meghalaya,Meghalaya 231,2129341,1025899,1103442,340719,728492,705027,355103,70.36,82.37,synthetic,ECI_aggregate_estimate
PC295,Manipur,Manipur 232,1516168,817936,698232,291707,546971,452993,224497,63.59,60.85,synthetic,ECI_aggregate_estimate
PC296,Nagaland,Nagaland 233,1271891,622855,649036,238526,461936,388768,182661,59.46,47.32,synthetic,ECI_aggregate_estimate
PC297,Goa,Goa 234,2677707,1353544,1324163,451184,827082,929535,469906,66.68,49.6,synthetic,ECI_aggregate_estimate
PC298,Arunachal Pradesh,Arunachal Pradesh 235,1749970,896646,853324,278281,558466,579738,333485,82.55,68.44,synthetic,ECI_aggregate_estimate
PC299,Mizoram,Mizoram 236,2788891,1387223,1401668,541685,1040299,789038,417869,61.21,52.91,synthetic,ECI_aggregate_estimate
PC300,Sikkim,Sikkim 237,1511908,772949,738959,230006,532590,509158,240154,69.8,66.79,synthetic,ECI_aggregate_estimate
PC301,Jammu and Kashmir,Jammu and Kashmir 238,2329119,1164672,1164447,462829,845799,656926,363565,58.62,74.22,synthetic,ECI_aggregate_estimate
PC302,Ladakh,Ladakh 239,1565745,778979,786766,331649,562364,470507,201225,75.51,68.46,synthetic,ECI_aggregate_estimate
PC303,Uttar Pradesh,Uttar Pradesh 240,3155708,1689017,1466691,484889,954248,948663,767908,73.77,54.81,synthetic,ECI_aggregate_estimate
PC304,Maharashtra,Maharashtra 241,2745669,1403753,1341916,581583,858652,831513,473921,67.12,50.8,synthetic,ECI_aggregate_estimate
PC305,West Bengal,West Bengal 242,2759730,1424944,1334786,490251,1016034,893881,359564,77.46,73.74,synthetic,ECI_aggregate_estimate
PC306,Bihar,Bihar 243,1258759,619031,639728,191425,461764,413847,191723,76.71,69.38,synthetic,ECI_aggregate_estimate
PC307,Madhya Pradesh,Madhya Pradesh 244,2608746,1339196,1269550,528843,888938,857562,333403,84.24,45.2,synthetic,ECI_aggregate_estimate
PC308,Tamil Nadu,Tamil Nadu 245,1993091,1034870,958221,369853,719859,593563,309816,85.67,75.91,synthetic,ECI_aggregate_estimate
PC309,Rajasthan,Rajasthan 246,1392914,730482,662432,261487,423767,398586,309074,58.3,78.84,synthetic,ECI_aggregate_estimate
PC310,Karnataka,Karnataka 247,1213578,609602,603976,239581,430620,375477,167900,55.14,63.4,synthetic,ECI_aggregate_estimate
PC311,Gujarat,Gujarat 248,2925157,1422050,1503107,604954,1003798,1008122,308283,77.42,68.9,synthetic,ECI_aggregate_estimate
PC312,Andhra Pradesh,Andhra Pradesh 249,2744965,1432100,1312865,576379,861919,957107,349560,62.13,75.6,synthetic,ECI_aggregate_estimate
PC313,Odisha,Odisha 250,1069672,574413,495259,223953,380662,368402,96655,92.33,67.29,synthetic,ECI_aggregate_estimate
PC314,Telangana,Telangana 251,1272100,642683,629417,235282,476443,388492,171883,67.31,79.4,synthetic,ECI_aggregate_estimate
PC315,Kerala,Kerala 252,1305261,650166,655095,199649,451715,446530,207367,62.49,78.17,synthetic,ECI_aggregate_estimate
PC316,Jharkhand,Jharkhand 253,2970947,1506593,1464354,585371,1069540,836819,479217,69.74,63.72,synthetic,ECI_aggregate_estimate
PC317,Assam,Assam 254,1683165,814071,869094,370145,580616,517803,214601,92.12,55.4,synthetic,ECI_aggregate_estimate
PC318,Punjab,Punjab 255,1726372,844814,881558,278519,557480,561197,329176,93.56,77.37,synthetic,ECI_aggregate_estimate
PC319,Chhattisgarh,Chhattisgarh 256,1509475,747252,762223,232507,553109,463083,260776,75.39,84.89,synthetic,ECI_aggregate_estimate
PC320,Haryana,Haryana 257,3072167,1621748,1450419,619605,979661,978460,494441,83.77,47.2,synthetic,ECI_aggregate_estimate
PC321,Uttarakhand,Uttarakhand 258,2162405,1055403,1107002,459172,703149,680145,319939,71.83,69.85,synthetic,ECI_aggregate_estimate
PC322,Himachal Pradesh,Himachal Pradesh 259,2235546,1201142,1034404,487610,747235,773607,227094,70.38,64.11,synthetic,ECI_aggregate_estimate
PC323,Tripura,Tripura 260,1166071,571592,594479,218913,359018,369785,218355,75.6,70.0,synthetic,ECI_aggregate_estimate
PC324,Meghalaya,Meghalaya 261,1301235,650823,650412,232809,442102,392025,234299,71.62,81.53,synthetic,ECI_aggregate_estimate
PC325,Manipur,Manipur 262,1838778,947911,890867,301406,602724,540069,394579,89.53,71.66,synthetic,ECI_aggregate_estimate
PC326,Nagaland,Nagaland 263,1945224,1036519,908705,398952,613300,581888,351084,88.3,74.15,synthetic,ECI_aggregate_estimate
PC327,Goa,Goa 264,1899545,976131,923414,390833,623652,633130,251930,67.28,64.76,synthetic,ECI_aggregate_estimate
PC328,Arunachal Pradesh,Arunachal Pradesh 265,2927185,1518668,1408517,585437,1051820,988454,301474,86.0,50.5,synthetic,ECI_aggregate_estimate
PC329,Mizoram,Mizoram 266,2141159,1071766,1069393,344742,687829,616826,491762,93.2,65.38,synthetic,ECI_aggregate_estimate
PC330,Sikkim,Sikkim 267,1496489,805403,691086,238835,523806,479378,254470,70.38,54.84,synthetic,ECI_aggregate_estimate
PC331,Jammu and Kashmir,Jammu and Kashmir 268,2433754,1173049,1260705,417759,849927,772579,393489,83.64,70.4,synthetic,ECI_aggregate_estimate
PC332,Ladakh,Ladakh 269,2153360,1060795,1092565,425928,771068,642592,313772,82.92,55.89,synthetic,ECI_aggregate_estimate
PC333,Uttar Pradesh,Uttar Pradesh 270,1985931,1003396,982535,433102,628980,667262,256587,75.75,52.2,synthetic,ECI_aggregate_estimate
PC334,Maharashtra,Maharashtra 271,1938257,977577,960680,361512,688076,651435,237234,78.31,69.96,synthetic,ECI_aggregate_estimate
PC335,West Bengal,West Bengal 272,1832911,918606,914305,399920,557173,622369,253449,65.99,52.87,synthetic,ECI_aggregate_estimate
PC336,Bihar,Bihar 273,3096867,1650287,1446580,511761,1144552,939525,501029,67.55,71.81,synthetic,ECI_aggregate_estimate
PC337,Madhya Pradesh,Madhya Pradesh 274,1503472,742909,760563,269417,553645,423666,256744,68.64,72.66,synthetic,ECI_aggregate_estimate
PC338,Tamil Nadu,Tamil Nadu 275,1966032,1054726,911306,307534,667736,595730,395032,90.42,56.11,synthetic,ECI_aggregate_estimate
PC339,Rajasthan,Rajasthan 276,3004210,1598494,1405716,505393,1021241,856690,620886,71.8,61.55,synthetic,ECI_aggregate_estimate
PC340,Karnataka,Karnataka 277,2719118,1306063,1413055,562247,823536,862778,470557,86.5,67.95,synthetic,ECI_aggregate_estimate
PC341,Gujarat,Gujarat 278,2926418,1553197,1373221,624642,903468,916492,481816,66.33,76.17,synthetic,ECI_aggregate_estimate
PC342,Andhra Pradesh,Andhra Pradesh 279,2269834,1143202,1126632,474930,742773,689892,362239,57.69,73.24,synthetic,ECI_aggregate_estimate
PC343,Odisha,Odisha 280,1777880,929871,848009,334776,639302,500359,303443,65.64,70.27,synthetic,ECI_aggregate_estimate
PC344,Telangana,Telangana 281,1397185,692789,704396,242290,473883,433946,247066,60.71,68.33,synthetic,ECI_aggregate_estimate
PC345,Kerala,Kerala 282,2712116,1385350,1326766,466384,894008,846559,505165,82.11,75.26,synthetic,ECI_aggregate_estimate
PC346,Jharkhand,Jharkhand 283,1427333,729917,697416,306366,493867,427597,199503,77.33,50.7,synthetic,ECI_aggregate_estimate
PC347,Assam,Assam 284,2832799,1462921,1369878,564193,999109,808694,460803,71.48,46.63,synthetic,ECI_aggregate_estimate
PC348,Punjab,Punjab 285,2547816,1323203,1224613,388271,802433,748230,608882,63.17,57.1,synthetic,ECI_aggregate_estimate
PC349,Chhattisgarh,Chhattisgarh 286,957971,471852,486119,181530,305039,333826,137576,64.76,73.54,synthetic,ECI_aggregate_estimate
PC350,Haryana,Haryana 287,2868913,1507448,1361465,564115,895418,923854,485526,92.78,76.96,synthetic,ECI_aggregate_estimate
PC351,Uttarakhand,Uttarakhand 288,1145957,589691,556266,180486,389147,366091,210233,73.74,75.56,synthetic,ECI_aggregate_estimate
PC352,Himachal Pradesh,Himachal Pradesh 289,2728913,1324766,1404147,578044,855114,802347,493408,94.21,50.87,synthetic,ECI_aggregate_estimate
PC353,Tripura,Tripura 290,2916730,1427385,1489345,449136,918870,866268,682456,71.37,55.65,synthetic,ECI_aggregate_estimate
PC354,Meghalaya,Meghalaya 291,1158376,598942,559434,233936,435857,393173,95410,87.74,48.56,synthetic,ECI_aggregate_estimate
PC355,Manipur,Manipur 292,2808709,1479906,1328803,597191,1047308,896241,267969,86.79,54.82,synthetic,ECI_aggregate_estimate
PC356,Nagaland,Nagaland 293,2416967,1283205,1133762,490228,820797,724935,381007,78.41,78.43,synthetic,ECI_aggregate_estimate
PC357,Goa,Goa 294,1848408,989048,859360,349385,604548,638989,255486,57.27,48.85,synthetic,ECI_aggregate_estimate
PC358,Arunachal Pradesh,Arunachal Pradesh 295,2650037,1394696,1255341,531108,921377,811692,385860,83.73,70.35,synthetic,ECI_aggregate_estimate
PC359,Mizoram,Mizoram 296,2156058,1121000,1035058,442075,760534,738066,215383,92.28,64.69,synthetic,ECI_aggregate_estimate
PC360,Sikkim,Sikkim 297,3010619,1492018,1518601,461652,1006164,846566,696237,92.41,64.3,synthetic,ECI_aggregate_estimate
PC361,Jammu and Kashmir,Jammu and Kashmir 298,1478426,776383,702043,244681,527696,420395,285654,85.22,49.5,synthetic,ECI_aggregate_estimate
PC362,Ladakh,Ladakh 299,3098619,1595969,1502650,532245,965367,985237,615770,87.58,58.58,synthetic,ECI_aggregate_estimate
PC363,Uttar Pradesh,Uttar Pradesh 300,2876741,1489691,1387050,455850,1057880,945791,417220,56.19,82.43,synthetic,ECI_aggregate_estimate
PC364,Maharashtra,Maharashtra 301,1095401,537825,557576,206294,374085,323477,191545,93.18,53.26,synthetic,ECI_aggregate_estimate
PC365,West Bengal,West Bengal 302,2255399,1105145,1150254,410776,846236,743164,255223,74.91,50.21,synthetic,ECI_aggregate_estimate
PC366,Bihar,Bihar 303,3163961,1661185,1502776,620382,1018785,1008999,515795,89.56,82.75,synthetic,ECI_aggregate_estimate
PC367,Madhya Pradesh,Madhya Pradesh 304,2952731,1562495,1390236,596444,1082316,985566,288405,74.97,55.99,synthetic,ECI_aggregate_estimate
PC368,Tamil Nadu,Tamil Nadu 305,2255712,1210166,1045546,473762,687256,669435,425259,92.53,77.41,synthetic,ECI_aggregate_estimate
PC369,Rajasthan,Rajasthan 306,1374030,697855,676175,299506,473212,458113,143199,63.79,73.14,synthetic,ECI_aggregate_estimate
PC370,Karnataka,Karnataka 307,2990309,1517801,1472508,458465,1136077,843130,552637,58.7,83.33,synthetic,ECI_aggregate_estimate
PC371,Gujarat,Gujarat 308,2485823,1216956,1268867,525925,866000,773206,320692,82.28,77.62,synthetic,ECI_aggregate_estimate
PC372,Andhra Pradesh,Andhra Pradesh 309,1922841,976010,946831,336014,715519,552492,318816,86.43,50.85,synthetic,ECI_aggregate_estimate
PC373,Odisha,Odisha 310,1216499,596175,620324,191868,403750,351243,269638,67.47,59.0,synthetic,ECI_aggregate_estimate
PC374,Telangana,Telangana 311,2070507,1016666,1053841,423459,740288,722396,184364,80.79,76.18,synthetic,ECI_aggregate_estimate
PC375,Kerala,Kerala 312,3205698,1651863,1553835,495762,1031234,1116806,561896,89.28,80.64,synthetic,ECI_aggregate_estimate
PC376,Jharkhand,Jharkhand 313,899543,462407,437136,183694,304602,269372,141875,89.75,45.41,synthetic,ECI_aggregate_estimate
PC377,Assam,Assam 314,1707589,863512,844077,261185,557251,512276,376877,82.32,66.79,synthetic,ECI_aggregate_estimate
PC378,Punjab,Punjab 315,1927981,1036344,891637,354021,637071,596661,340228,58.4,65.11,synthetic,ECI_aggregate_estimate
PC379,Chhattisgarh,Chhattisgarh 316,1426267,710406,715861,281587,451648,460985,232047,69.18,69.62,synthetic,ECI_aggregate_estimate
PC380,Haryana,Haryana 317,2686949,1362940,1324009,422356,970289,861246,433058,94.2,53.72,synthetic,ECI_aggregate_estimate
PC381,Uttarakhand,Uttarakhand 318,1145062,588389,556673,180959,406847,323000,234256,92.71,54.3,synthetic,ECI_aggregate_estimate
PC382,Himachal Pradesh,Himachal Pradesh 319,3018308,1460526,1557782,498115,1032086,986442,501665,91.84,64.61,synthetic,ECI_aggregate_estimate
PC383,Tripura,Tripura 320,1571995,785997,785998,275549,570553,508833,217060,66.11,45.77,synthetic,ECI_aggregate_estimate
PC384,Meghalaya,Meghalaya 321,2392429,1190076,1202353,362999,875792,695413,458225,66.32,56.4,synthetic,ECI_aggregate_estimate
PC385,Manipur,Manipur 322,1315766,658814,656952,261370,430422,395037,228937,64.16,57.94,synthetic,ECI_aggregate_estimate
PC386,Nagaland,Nagaland 323,2477611,1274055,1203556,412730,892500,841409,330972,86.95,75.84,synthetic,ECI_aggregate_estimate
PC387,Goa,Goa 324,1163441,566659,596782,218146,377465,342159,225671,80.28,59.33,synthetic,ECI_aggregate_estimate
PC388,Arunachal Pradesh,Arunachal Pradesh 325,2787505,1389180,1398325,563585,1040513,861169,322238,57.7,73.78,synthetic,ECI_aggregate_estimate
PC389,Mizoram,Mizoram 326,2705404,1409458,1295946,511542,832945,771412,589505,62.9,47.57,synthetic,ECI_aggregate_estimate
PC390,Sikkim,Sikkim 327,1731490,900799,830691,295400,551295,491384,393411,55.17,58.78,synthetic,ECI_aggregate_estimate
PC391,Jammu and Kashmir,Jammu and Kashmir 328,1871650,919234,952416,300949,658118,651133,261450,91.89,64.97,synthetic,ECI_aggregate_estimate
PC392,Ladakh,Ladakh 329,931949,459944,472005,185481,281281,312860,152327,59.9,57.8,synthetic,ECI_aggregate_estimate
PC393,Uttar Pradesh,Uttar Pradesh 330,1347006,655069,691937,265686,437612,395925,247783,73.35,63.86,synthetic,ECI_aggregate_estimate
PC394,Maharashtra,Maharashtra 331,1184859,586264,598595,218602,435361,379997,150899,59.95,53.34,synthetic,ECI_aggregate_estimate
PC395,West Bengal,West Bengal 332,2190559,1130815,1059744,372013,658472,640254,519820,70.66,76.63,synthetic,ECI_aggregate_estimate
PC396,Bihar,Bihar 333,1055277,514068,541209,169915,325356,317935,242071,82.63,56.8,synthetic,ECI_aggregate_estimate
PC397,Madhya Pradesh,Madhya Pradesh 334,1292043,688830,603213,227443,415878,362460,286262,62.4,51.64,synthetic,ECI_aggregate_estimate
PC398,Tamil Nadu,Tamil Nadu 335,2258742,1118452,1140290,492698,723527,788861,253656,63.41,74.62,synthetic,ECI_aggregate_estimate
PC399,Rajasthan,Rajasthan 336,1177551,568755,608796,236051,445767,401909,93824,80.82,45.37,synthetic,ECI_aggregate_estimate
PC400,Karnataka,Karnataka 337,1535154,756831,778323,262861,545492,512846,213955,67.44,60.21,synthetic,ECI_aggregate_estimate
PC401,Gujarat,Gujarat 338,1274646,687489,587157,220734,456222,436517,161173,75.59,57.28,synthetic,ECI_aggregate_estimate
PC402,Andhra Pradesh,Andhra Pradesh 339,3163409,1562548,1600861,657503,1047515,961495,496896,94.48,49.3,synthetic,ECI_aggregate_estimate
PC403,Odisha,Odisha 340,2615609,1367314,1248295,543332,979804,821898,270575,69.65,45.22,synthetic,ECI_aggregate_estimate
