pc_id,state,constituency_name,form6_addition_requests,form6_inward_migration,form6_outward_migration,net_migration,form7_deletion_requests,form8_correction_requests,data_origin,anchor_level
PC262,Himachal Pradesh,Himachal Pradesh 199,3729,2075,1654,421,238,854,synthetic,ECI_aggregate_estimate
PC263,Tripura,Tripura 200,3375,1441,1934,-493,400,415,synthetic,ECI_aggregate_estimate
PC264,Meghalaya,Meghalaya 201,2049,981,1068,-87,112,399,synthetic,ECI_aggregate_estimate
PC265,Manipur,Manipur 202,3565,1925,1640,285,477,528,synthetic,ECI_aggregate_estimate
PC266,Nagaland,Nagaland 203,7287,3041,4246,-1205,469,909,synthetic,ECI_aggregate_estimate
PC267,Goa,Goa 204,6415,3946,2469,1477,378,1294,synthetic,ECI_aggregate_estimate
PC268,Arunachal Pradesh,Arunachal Pradesh 205,2334,906,1428,-522,347,361,synthetic,ECI_aggregate_estimate
PC269,Mizoram,Mizoram 206,6718,3027,3691,-664,592,1677,synthetic,ECI_aggregate_estimate
PC270,Sikkim,Sikkim 207,4394,2477,1917,560,467,687,synthetic,ECI_aggregate_estimate
PC271,Jammu and Kashmir,Jammu and Kashmir 208,6271,3260,3011,249,585,733,synthetic,ECI_aggregate_estimate
PC272,Ladakh,Ladakh 209,7277,3597,3680,-83,1046,1510,synthetic,ECI_aggregate_estimate
PC273,Uttar Pradesh,Uttar Pradesh 210,1817,744,1073,-329,237,229,synthetic,ECI_aggregate_estimate
PC274,Maharashtra,Maharashtra 211,2435,1329,1106,223,322,468,synthetic,ECI_aggregate_estimate
PC275,West Bengal,West Bengal 212,5247,2130,3117,-987,704,1209,synthetic,ECI_aggregate_estimate
PC276,Bihar,Bihar 213,1683,664,1019,-355,245,410,synthetic,ECI_aggregate_estimate
PC277,Madhya Pradesh,Madhya Pradesh 214,4167,2166,2001,165,618,445,synthetic,ECI_aggregate_estimate
PC278,Tamil Nadu,Tamil Nadu 215,5213,2524,2689,-165,620,775,synthetic,ECI_aggregate_estimate
PC279,Rajasthan,Rajasthan 216,3739,1628,2111,-483,420,642,synthetic,ECI_aggregate_estimate
PC280,Karnataka,Karnataka 217,2788,1182,1606,-424,227,533,synthetic,ECI_aggregate_estimate
PC281,Gujarat,Gujarat 218,2201,1422,779,643,247,336,synthetic,ECI_aggregate_estimate
PC282,Andhra Pradesh,Andhra Pradesh 219,4066,2203,1863,340,363,915,synthetic,ECI_aggregate_estimate
PC283,Odisha,Odisha 220,6711,2881,3830,-949,832,1030,synthetic,ECI_aggregate_estimate
PC284,Telangana,Telangana 221,4233,2692,1541,1151,597,586,synthetic,ECI_aggregate_estimate
PC285,Kerala,Kerala 222,2853,1160,1693,-533,300,544,synthetic,ECI_aggregate_estimate
PC286,Jharkhand,Jharkhand 223,7209,3521,3688,-167,767,875,synthetic,ECI_aggregate_estimate
PC287,Assam,Assam 224,3100,1458,1642,-184,362,746,synthetic,ECI_aggregate_estimate
PC288,Punjab,Punjab 225,3630,1978,1652,326,362,769,synthetic,ECI_aggregate_estimate
PC289,Chhattisgarh,Chhattisgarh 226,2562,1263,1299,-36,170,421,synthetic,ECI_aggregate_estimate
PC290,Haryana,Haryana 227,3314,1704,1610,94,305,344,synthetic,ECI_aggregate_estimate
PC291,Uttarakhand,Uttarakhand 228,5523,2219,3304,-1085,507,1002,synthetic,ECI_aggregate_estimate
PC292,Himachal Pradesh,Himachal Pradesh 229,6780,2976,3804,-828,360,1556,synthetic,ECI_aggregate_estimate
PC293,Tripura,Tripura 230,6488,3609,2879,730,893,1212,synthetic,ECI_aggregate_estimate
PC294,Meghalaya,Meghalaya 231,6126,3702,2424,1278,900,1021,synthetic,ECI_aggregate_estimate
PC295,Manipur,Manipur 232,6611,2895,3716,-821,702,1483,synthetic,ECI_aggregate_estimate
PC296,Nagaland,Nagaland 233,3632,2221,1411,810,301,690,synthetic,ECI_aggregate_estimate
PC297,Goa,Goa 234,5899,3596,2303,1293,546,1403,synthetic,ECI_aggregate_estimate
PC298,Arunachal Pradesh,Arunachal Pradesh 235,5882,2878,3004,-126,401,1414,synthetic,ECI_aggregate_estimate
PC299,Mizoram,Mizoram 236,6421,2592,3829,-1237,550,1118,synthetic,ECI_aggregate_estimate
PC300,Sikkim,Sikkim 237,3677,2270,1407,863,485,813,synthetic,ECI_aggregate_estimate
PC301,Jammu and Kashmir,Jammu and Kashmir 238,2002,1147,855,292,214,486,synthetic,ECI_aggregate_estimate
PC302,Ladakh,Ladakh 239,6800,2650,4150,-1500,491,745,synthetic,ECI_aggregate_estimate
PC303,Uttar Pradesh,Uttar Pradesh 240,7060,4004,3056,948,611,762,synthetic,ECI_aggregate_estimate
PC304,Maharashtra,Maharashtra 241,7318,4014,3304,710,682,1354,synthetic,ECI_aggregate_estimate
PC305,West Bengal,West Bengal 242,4180,2423,1757,666,557,1018,synthetic,ECI_aggregate_estimate
PC306,Bihar,Bihar 243,4049,2567,1482,1085,588,770,synthetic,ECI_aggregate_estimate
PC307,Madhya Pradesh,Madhya Pradesh 244,6285,3965,2320,1645,737,1375,synthetic,ECI_aggregate_estimate
PC308,Tamil Nadu,Tamil Nadu 245,2793,1179,1614,-435,230,371,synthetic,ECI_aggregate_estimate
PC309,Rajasthan,Rajasthan 246,1714,770,944,-174,109,377,synthetic,ECI_aggregate_estimate
PC310,Karnataka,Karnataka 247,6175,2779,3396,-617,698,1330,synthetic,ECI_aggregate_estimate
PC311,Gujarat,Gujarat 248,5359,2029,3330,-1301,630,716,synthetic,ECI_aggregate_estimate
PC312,Andhra Pradesh,Andhra Pradesh 249,7266,4525,2741,1784,629,1548,synthetic,ECI_aggregate_estimate
PC313,Odisha,Odisha 250,3116,1408,1708,-300,203,579,synthetic,ECI_aggregate_estimate
PC314,Telangana,Telangana 251,3584,2266,1318,948,370,455,synthetic,ECI_aggregate_estimate
PC315,Kerala,Kerala 252,2853,1278,1575,-297,298,299,synthetic,ECI_aggregate_estimate
PC316,Jharkhand,Jharkhand 253,6126,2261,3865,-1604,482,805,synthetic,ECI_aggregate_estimate
PC317,Assam,Assam 254,6687,3908,2779,1129,687,767,synthetic,ECI_aggregate_estimate
PC318,Punjab,Punjab 255,7069,4149,2920,1229,534,1608,synthetic,ECI_aggregate_estimate
PC319,Chhattisgarh,Chhattisgarh 256,7259,4314,2945,1369,817,787,synthetic,ECI_aggregate_estimate
PC320,Haryana,Haryana 257,6569,2627,3942,-1315,626,766,synthetic,ECI_aggregate_estimate
PC321,Uttarakhand,Uttarakhand 258,4332,2598,1734,864,267,942,synthetic,ECI_aggregate_estimate
PC322,Himachal Pradesh,Himachal Pradesh 259,3055,1126,1929,-803,432,730,synthetic,ECI_aggregate_estimate
PC323,Tripura,Tripura 260,4658,2564,2094,470,265,811,synthetic,ECI_aggregate_estimate
PC324,Meghalaya,Meghalaya 261,3490,2227,1263,964,425,541,synthetic,ECI_aggregate_estimate
PC325,Manipur,Manipur 262,4784,2989,1795,1194,710,969,synthetic,ECI_aggregate_estimate
PC326,Nagaland,Nagaland 263,6876,3952,2924,1028,436,1343,synthetic,ECI_aggregate_estimate
PC327,Goa,Goa 264,5792,2518,3274,-756,427,1037,synthetic,ECI_aggregate_estimate
PC328,Arunachal Pradesh,Arunachal Pradesh 265,3095,1639,1456,183,376,502,synthetic,ECI_aggregate_estimate
PC329,Mizoram,Mizoram 266,2147,1328,819,509,250,461,synthetic,ECI_aggregate_estimate
PC330,Sikkim,Sikkim 267,6467,2278,4189,-1911,617,1435,synthetic,ECI_aggregate_estimate
PC331,Jammu and Kashmir,Jammu and Kashmir 268,7076,4511,2565,1946,444,1335,synthetic,ECI_aggregate_estimate
PC332,Ladakh,Ladakh 269,6285,3593,2692,901,861,656,synthetic,ECI_aggregate_estimate
PC333,Uttar Pradesh,Uttar Pradesh 270,1859,846,1013,-167,229,211,synthetic,ECI_aggregate_estimate
PC334,Maharashtra,Maharashtra 271,7077,3487,3590,-103,535,1748,synthetic,ECI_aggregate_estimate
PC335,West Bengal,West Bengal 272,4510,1711,2799,-1088,320,677,synthetic,ECI_aggregate_estimate
PC336,Bihar,Bihar 273,7309,4304,3005,1299,576,761,synthetic,ECI_aggregate_estimate
PC337,Madhya Pradesh,Madhya Pradesh 274,1843,1156,687,469,93,307,synthetic,ECI_aggregate_estimate
PC338,Tamil Nadu,Tamil Nadu 275,6876,4442,2434,2008,576,1448,synthetic,ECI_aggregate_estimate
PC339,Rajasthan,Rajasthan 276,4765,2523,2242,281,556,1160,synthetic,ECI_aggregate_estimate
PC340,Karnataka,Karnataka 277,3588,2267,1321,946,513,637,synthetic,ECI_aggregate_estimate
PC341,Gujarat,Gujarat 278,4825,2537,2288,249,383,676,synthetic,ECI_aggregate_estimate
PC342,Andhra Pradesh,Andhra Pradesh 279,5472,2419,3053,-634,315,1259,synthetic,ECI_aggregate_estimate
PC343,Odisha,Odisha 280,5152,2363,2789,-426,375,677,synthetic,ECI_aggregate_estimate
PC344,Telangana,Telangana 281,5475,3021,2454,567,535,1244,synthetic,ECI_aggregate_estimate
PC345,Kerala,Kerala 282,7330,4322,3008,1314,659,1316,synthetic,ECI_aggregate_estimate
PC346,Jharkhand,Jharkhand 283,6143,3772,2371,1401,513,702,synthetic,ECI_aggregate_estimate
PC347,Assam,Assam 284,6017,3041,2976,65,336,1081,synthetic,ECI_aggregate_estimate
PC348,Punjab,Punjab 285,5395,1949,3446,-1497,666,727,synthetic,ECI_aggregate_estimate
PC349,Chhattisgarh,Chhattisgarh 286,2157,1003,1154,-151,219,288,synthetic,ECI_aggregate_estimate
PC350,Haryana,Haryana 287,5094,2132,2962,-830,647,724,synthetic,ECI_aggregate_estimate
PC351,Uttarakhand,Uttarakhand 288,4077,1844,2233,-389,331,586,synthetic,ECI_aggregate_estimate
PC352,Himachal Pradesh,Himachal Pradesh 289,4341,2748,1593,1155,411,590,synthetic,ECI_aggregate_estimate
PC353,Tripura,Tripura 290,3863,1565,2298,-733,292,729,synthetic,ECI_aggregate_estimate
PC354,Meghalaya,Meghalaya 291,6863,3553,3310,243,594,1275,synthetic,ECI_aggregate_estimate
PC355,Manipur,Manipur 292,6034,3379,2655,724,626,661,synthetic,ECI_aggregate_estimate
PC356,Nagaland,Nagaland 293,2385,1167,1218,-51,277,324,synthetic,ECI_aggregate_estimate
PC357,Goa,Goa 294,4108,2548,1560,988,555,649,synthetic,ECI_aggregate_estimate
PC358,Arunachal Pradesh,Arunachal Pradesh 295,1521,961,560,401,175,348,synthetic,ECI_aggregate_estimate
PC359,Mizoram,Mizoram 296,6117,2823,3294,-471,882,1169,synthetic,ECI_aggregate_estimate
PC360,Sikkim,Sikkim 297,2078,948,1130,-182,175,405,synthetic,ECI_aggregate_estimate
PC361,Jammu and Kashmir,Jammu and Kashmir 298,5156,2783,2373,410,513,868,synthetic,ECI_aggregate_estimate
PC362,Ladakh,Ladakh 299,6688,3252,3436,-184,702,897,synthetic,ECI_aggregate_estimate
PC363,Uttar Pradesh,Uttar Pradesh 300,2655,1351,1304,47,263,347,synthetic,ECI_aggregate_estimate
PC364,Maharashtra,Maharashtra 301,4488,2513,1975,538,245,918,synthetic,ECI_aggregate_estimate
PC365,West Bengal,West Bengal 302,4834,2138,2696,-558,305,1124,synthetic,ECI_aggregate_estimate
PC366,Bihar,Bihar 303,4364,1679,2685,-1006,453,899,synthetic,ECI_aggregate_estimate
PC367,Madhya Pradesh,Madhya Pradesh 304,5109,3116,1993,1123,600,843,synthetic,ECI_aggregate_estimate
PC368,Tamil Nadu,Tamil Nadu 305,6923,4072,2851,1221,568,1083,synthetic,ECI_aggregate_estimate
PC369,Rajasthan,Rajasthan 306,6129,2975,3154,-179,724,995,synthetic,ECI_aggregate_estimate
PC370,Karnataka,Karnataka 307,6748,3474,3274,200,481,1155,synthetic,ECI_aggregate_estimate
PC371,Gujarat,Gujarat 308,2363,1468,895,573,316,555,synthetic,ECI_aggregate_estimate
PC372,Andhra Pradesh,Andhra Pradesh 309,4849,2188,2661,-473,697,644,synthetic,ECI_aggregate_estimate
PC373,Odisha,Odisha 310,6876,4352,2524,1828,367,1109,synthetic,ECI_aggregate_estimate
PC374,Telangana,Telangana 311,4634,2453,2181,272,631,665,synthetic,ECI_aggregate_estimate
PC375,Kerala,Kerala 312,2707,1560,1147,413,201,660,synthetic,ECI_aggregate_estimate
PC376,Jharkhand,Jharkhand 313,5459,3389,2070,1319,338,632,synthetic,ECI_aggregate_estimate
PC377,Assam,Assam 314,1648,824,824,0,105,244,synthetic,ECI_aggregate_estimate
PC378,Punjab,Punjab 315,4395,1943,2452,-509,252,810,synthetic,ECI_aggregate_estimate
PC379,Chhattisgarh,Chhattisgarh 316,6578,3276,3302,-26,674,1377,synthetic,ECI_aggregate_estimate
PC380,Haryana,Haryana 317,2908,1717,1191,526,226,367,synthetic,ECI_aggregate_estimate
PC381,Uttarakhand,Uttarakhand 318,2810,1059,1751,-692,349,362,synthetic,ECI_aggregate_estimate
PC382,Himachal Pradesh,Himachal Pradesh 319,6074,2156,3918,-1762,558,723,synthetic,ECI_aggregate_estimate
PC383,Tripura,Tripura 320,6911,2925,3986,-1061,483,1471,synthetic,ECI_aggregate_estimate
PC384,Meghalaya,Meghalaya 321,5346,3101,2245,856,638,985,synthetic,ECI_aggregate_estimate
PC385,Manipur,Manipur 322,6264,2525,3739,-1214,620,1319,synthetic,ECI_aggregate_estimate
PC386,Nagaland,Nagaland 323,4697,1938,2759,-821,576,670,synthetic,ECI_aggregate_estimate
PC387,Goa,Goa 324,6668,2748,3920,-1172,418,1029,synthetic,ECI_aggregate_estimate
PC388,Arunachal Pradesh,Arunachal Pradesh 325,6411,4116,2295,1821,578,837,synthetic,ECI_aggregate_estimate
PC389,Mizoram,Mizoram 326,5678,3643,2035,1608,609,737,synthetic,ECI_aggregate_estimate
PC390,Sikkim,Sikkim 327,1899,791,1108,-317,161,418,synthetic,ECI_aggregate_estimate
PC391,Jammu and Kashmir,Jammu and Kashmir 328,5019,2885,2134,751,638,1173,synthetic,ECI_aggregate_estimate
PC392,Ladakh,Ladakh 329,5225,3347,1878,1469,271,1274,synthetic,ECI_aggregate_estimate
PC393,Uttar Pradesh,Uttar Pradesh 330,6172,3703,2469,1234,512,1543,synthetic,ECI_aggregate_estimate
PC394,Maharashtra,Maharashtra 331,5324,3214,2110,1104,542,1245,synthetic,ECI_aggregate_estimate
PC395,West Bengal,West Bengal 332,4546,2255,2291,-36,628,888,synthetic,ECI_aggregate_estimate
PC396,Bihar,Bihar 333,4808,2747,2061,686,338,980,synthetic,ECI_aggregate_estimate
PC397,Madhya Pradesh,Madhya Pradesh 334,3780,2228,1552,676,532,464,synthetic,ECI_aggregate_estimate
PC398,Tamil Nadu,Tamil Nadu 335,6930,4111,2819,1292,455,1190,synthetic,ECI_aggregate_estimate
PC399,Rajasthan,Rajasthan 336,2082,1257,825,432,309,329,synthetic,ECI_aggregate_estimate
PC400,Karnataka,Karnataka 337,2188,1050,1138,-88,267,254,synthetic,ECI_aggregate_estimate
PC401,Gujarat,Gujarat 338,2752,1468,1284,184,165,635,synthetic,ECI_aggregate_estimate
PC402,Andhra Pradesh,Andhra Pradesh 339,2609,984,1625,-641,176,261,synthetic,ECI_aggregate_estimate
PC403,Odisha,Odisha 340,5019,2182,2837,-655,448,829,synthetic,ECI_aggregate_estimate
PC404,Telangana,Telangana 341,6596,3371,3225,146,531,1384,synthetic,ECI_aggregate_estimate
PC405,Kerala,Kerala 342,5530,3489,2041,1448,338,1006,synthetic,ECI_aggregate_estimate
PC406,Jharkhand,Jharkhand 343,2987,1783,1204,579,250,432,synthetic,ECI_aggregate_estimate
PC407,Assam,Assam 344,2651,1624,1027,597,170,361,synthetic,ECI_aggregate_estimate
PC408,Punjab,Punjab 345,3005,1407,1598,-191,301,607,synthetic,ECI_aggregate_estimate
PC409,Chhattisgarh,Chhattisgarh 346,4850,2318,2532,-214,664,838,synthetic,ECI_aggregate_estimate
PC410,Haryana,Haryana 347,3445,1318,2127,-809,300,632,synthetic,ECI_aggregate_estimate
PC411,Uttarakhand,Uttarakhand 348,2794,1402,1392,10,169,596,synthetic,ECI_aggregate_estimate
PC412,Himachal Pradesh,Himachal Pradesh 349,4996,3213,1783,1430,594,589,synthetic,ECI_aggregate_estimate
PC413,Tripura,Tripura 350,4081,1681,2400,-719,495,676,synthetic,ECI_aggregate_estimate
PC414,Meghalaya,Meghalaya 351,4086,1661,2425,-764,393,919,synthetic,ECI_aggregate_estimate
PC415,Manipur,Manipur 352,3932,1377,2555,-1178,293,626,synthetic,ECI_aggregate_estimate
PC416,Nagaland,Nagaland 353,6283,3418,2865,553,790,1529,synthetic,ECI_aggregate_estimate
PC417,Goa,Goa 354,5254,2554,2700,-146,737,988,synthetic,ECI_aggregate_estimate
PC418,Arunachal Pradesh,Arunachal Pradesh 355,2723,1168,1555,-387,148,343,synthetic,ECI_aggregate_estimate
PC419,Mizoram,Mizoram 356,4067,2197,1870,327,425,582,synthetic,ECI_aggregate_estimate
PC420,Sikkim,Sikkim 357,2710,1748,962,786,376,347,synthetic,ECI_aggregate_estimate
PC421,Jammu and Kashmir,Jammu and Kashmir 358,3692,1843,1849,-6,265,679,synthetic,ECI_aggregate_estimate
PC422,Ladakh,Ladakh 359,5973,2962,3011,-49,809,1040,synthetic,ECI_aggregate_estimate
PC423,Uttar Pradesh,Uttar Pradesh 360,5037,2740,2297,443,305,571,synthetic,ECI_aggregate_estimate
PC424,Maharashtra,Maharashtra 361,4121,1617,2504,-887,471,918,synthetic,ECI_aggregate_estimate
PC425,West Bengal,West Bengal 362,3245,2067,1178,889,485,405,synthetic,ECI_aggregate_estimate
PC426,Bihar,Bihar 363,4246,2213,2033,180,274,1037,synthetic,ECI_aggregate_estimate
PC427,Madhya Pradesh,Madhya Pradesh 364,2533,927,1606,-679,311,444,synthetic,ECI_aggregate_estimate
PC428,Tamil Nadu,Tamil Nadu 365,7113,2552,4561,-2009,419,747,synthetic,ECI_aggregate_estimate
PC429,Rajasthan,Rajasthan 366,5135,2119,3016,-897,590,1217,synthetic,ECI_aggregate_estimate
PC430,Karnataka,Karnataka 367,3385,1854,1531,323,338,695,synthetic,ECI_aggregate_estimate
PC431,Gujarat,Gujarat 368,3065,1410,1655,-245,270,668,synthetic,ECI_aggregate_estimate
PC432,Andhra Pradesh,Andhra Pradesh 369,6329,3395,2934,461,892,1113,synthetic,ECI_aggregate_estimate
PC433,Odisha,Odisha 370,1631,656,975,-319,118,322,synthetic,ECI_aggregate_estimate
PC434,Telangana,Telangana 371,4107,2423,1684,739,513,682,synthetic,ECI_aggregate_estimate
PC435,Kerala,Kerala 372,2021,1187,834,353,171,275,synthetic,ECI_aggregate_estimate
PC436,Jharkhand,Jharkhand 373,4453,1856,2597,-741,223,780,synthetic,ECI_aggregate_estimate
PC437,Assam,Assam 374,4390,2568,1822,746,382,935,synthetic,ECI_aggregate_estimate
PC438,Punjab,Punjab 375,4046,2578,1468,1110,507,527,synthetic,ECI_aggregate_estimate
PC439,Chhattisgarh,Chhattisgarh 376,3894,2303,1591,712,452,678,synthetic,ECI_aggregate_estimate
PC440,Haryana,Haryana 377,3506,1838,1668,170,308,559,synthetic,ECI_aggregate_estimate
PC441,Uttarakhand,Uttarakhand 378,2653,1002,1651,-649,347,305,synthetic,ECI_aggregate_estimate
PC442,Himachal Pradesh,Himachal Pradesh 379,4492,2693,1799,894,544,840,synthetic,ECI_aggregate_estimate
PC443,Tripura,Tripura 380,6021,3346,2675,671,581,1068,synthetic,ECI_aggregate_estimate
PC444,Meghalaya,Meghalaya 381,3733,1741,1992,-251,269,504,synthetic,ECI_aggregate_estimate
PC445,Manipur,Manipur 382,4117,2512,1605,907,487,899,synthetic,ECI_aggregate_estimate
PC446,Nagaland,Nagaland 383,4494,1949,2545,-596,505,475,synthetic,ECI_aggregate_estimate
PC447,Goa,Goa 384,6624,3951,2673,1278,958,1518,synthetic,ECI_aggregate_estimate
PC448,Arunachal Pradesh,Arunachal Pradesh 385,1755,742,1013,-271,97,436,synthetic,ECI_aggregate_estimate
PC449,Mizoram,Mizoram 386,1930,717,1213,-496,131,270,synthetic,ECI_aggregate_estimate
PC450,Sikkim,Sikkim 387,2310,1338,972,366,308,415,synthetic,ECI_aggregate_estimate
PC451,Jammu and Kashmir,Jammu and Kashmir 388,4398,1902,2496,-594,394,510,synthetic,ECI_aggregate_estimate
PC452,Ladakh,Ladakh 389,5507,2891,2616,275,680,1261,synthetic,ECI_aggregate_estimate
PC453,Uttar Pradesh,Uttar Pradesh 390,2742,1611,1131,480,218,333,synthetic,ECI_aggregate_estimate
PC454,Maharashtra,Maharashtra 391,3609,1647,1962,-315,465,384,synthetic,ECI_aggregate_estimate
PC455,West Bengal,West Bengal 392,1902,1207,695,512,105,302,synthetic,ECI_aggregate_estimate
PC456,Bihar,Bihar 393,3378,1729,1649,80,331,502,synthetic,ECI_aggregate_estimate
PC457,Madhya Pradesh,Madhya Pradesh 394,4647,1953,2694,-741,484,488,synthetic,ECI_aggregate_estimate
PC458,Tamil Nadu,Tamil Nadu 395,6958,4438,2520,1918,950,768,synthetic,ECI_aggregate_estimate
PC459,Rajasthan,Rajasthan 396,3183,1447,1736,-289,200,615,synthetic,ECI_aggregate_estimate
PC460,Karnataka,Karnataka 397,4488,1913,2575,-662,332,603,synthetic,ECI_aggregate_estimate
PC461,Gujarat,Gujarat 398,5865,2346,3519,-1173,862,969,synthetic,ECI_aggregate_estimate
PC462,Andhra Pradesh,Andhra Pradesh 399,5658,3260,2398,862,544,907,synthetic,ECI_aggregate_estimate
PC463,Odisha,Odisha 400,3076,1266,1810,-544,214,640,synthetic,ECI_aggregate_estimate
PC464,Telangana,Telangana 401,3810,2278,1532,746,498,905,synthetic,ECI_aggregate_estimate
PC465,Kerala,Kerala 402,4796,1738,3058,-1320,650,588,synthetic,ECI_aggregate_estimate
PC466,Jharkhand,Jharkhand 403,3157,1108,2049,-941,460,733,synthetic,ECI_aggregate_estimate
PC467,Assam,Assam 404,3958,2256,1702,554,528,630,synthetic,ECI_aggregate_estimate
PC468,Punjab,Punjab 405,6116,3931,2185,1746,317,832,synthetic,ECI_aggregate_estimate
PC469,Chhattisgarh,Chhattisgarh 406,2955,1081,1874,-793,345,663,synthetic,ECI_aggregate_estimate
PC470,Haryana,Haryana 407,4154,1760,2394,-634,458,906,synthetic,ECI_aggregate_estimate
PC471,Uttarakhand,Uttarakhand 408,6067,2443,3624,-1181,382,1237,synthetic,ECI_aggregate_estimate
PC472,Himachal Pradesh,Himachal Pradesh 409,2351,1492,859,633,119,375,synthetic,ECI_aggregate_estimate
PC473,Tripura,Tripura 410,1473,736,737,-1,218,187,synthetic,ECI_aggregate_estimate
PC474,Meghalaya,Meghalaya 411,2269,1233,1036,197,221,416,synthetic,ECI_aggregate_estimate
PC475,Manipur,Manipur 412,2096,1348,748,600,301,226,synthetic,ECI_aggregate_estimate
PC476,Nagaland,Nagaland 413,2456,1196,1260,-64,360,349,synthetic,ECI_aggregate_estimate
PC477,Goa,Goa 414,2458,1468,990,478,150,289,synthetic,ECI_aggregate_estimate
PC478,Arunachal Pradesh,Arunachal Pradesh 415,3396,1230,2166,-936,180,698,synthetic,ECI_aggregate_estimate
PC479,Mizoram,Mizoram 416,6086,2692,3394,-702,524,674,synthetic,ECI_aggregate_estimate
PC480,Sikkim,Sikkim 417,4729,2091,2638,-547,490,914,synthetic,ECI_aggregate_estimate
PC481,Jammu and Kashmir,Jammu and Kashmir 418,5288,2765,2523,242,309,1200,synthetic,ECI_aggregate_estimate
PC482,Ladakh,Ladakh 419,1989,985,1004,-19,283,443,synthetic,ECI_aggregate_estimate
PC483,Uttar Pradesh,Uttar Pradesh 420,3133,1317,1816,-499,385,727,synthetic,ECI_aggregate_estimate
PC484,Maharashtra,Maharashtra 421,1488,594,894,-300,185,291,synthetic,ECI_aggregate_estimate
PC485,West Bengal,West Bengal 422,7231,2859,4372,-1513,409,1309,synthetic,ECI_aggregate_estimate
PC486,Bihar,Bihar 423,4455,2583,1872,711,642,928,synthetic,ECI_aggregate_estimate
PC487,Madhya Pradesh,Madhya Pradesh 424,5934,2251,3683,-1432,860,1146,synthetic,ECI_aggregate_estimate
PC488,Tamil Nadu,Tamil Nadu 425,2666,1137,1529,-392,222,563,synthetic,ECI_aggregate_estimate
PC489,Rajasthan,Rajasthan 426,4764,1735,3029,-1294,630,775,synthetic,ECI_aggregate_estimate
PC490,Karnataka,Karnataka 427,2682,1415,1267,148,355,312,synthetic,ECI_aggregate_estimate
PC491,Gujarat,Gujarat 428,6405,2793,3612,-819,687,1300,synthetic,ECI_aggregate_estimate
PC492,Andhra Pradesh,Andhra Pradesh 429,5295,3038,2257,781,615,1047,synthetic,ECI_aggregate_estimate
PC493,Odisha,Odisha 430,6593,3645,2948,697,976,1510,synthetic,ECI_aggregate_estimate
PC494,Telangana,Telangana 431,2779,1660,1119,541,340,318,synthetic,ECI_aggregate_estimate
PC495,Kerala,Kerala 432,4905,3035,1870,1165,247,750,synthetic,ECI_aggregate_estimate
PC496,Jharkhand,Jharkhand 433,5982,3321,2661,660,641,1098,synthetic,ECI_aggregate_estimate
PC497,Assam,Assam 434,2430,1397,1033,364,360,445,synthetic,ECI_aggregate_estimate
PC498,Punjab,Punjab 435,5758,3136,2622,514,704,1279,synthetic,ECI_aggregate_estimate
PC499,Chhattisgarh,Chhattisgarh 436,2344,1407,937,470,346,330,synthetic,ECI_aggregate_estimate
PC500,Haryana,Haryana 437,7340,4453,2887,1566,440,1361,synthetic,ECI_aggregate_estimate
PC501,Uttarakhand,Uttarakhand 438,3454,1583,1871,-288,269,369,synthetic,ECI_aggregate_estimate
PC502,Himachal Pradesh,Himachal Pradesh 439,1605,661,944,-283,98,177,synthetic,ECI_aggregate_estimate
PC503,Tripura,Tripura 440,3549,2009,1540,469,360,766,synthetic,ECI_aggregate_estimate
PC504,Meghalaya,Meghalaya 441,1559,665,894,-229,172,208,synthetic,ECI_aggregate_estimate
PC505,Manipur,Manipur 442,3961,2524,1437,1087,449,428,synthetic,ECI_aggregate_estimate
PC506,Nagaland,Nagaland 443,5568,2376,3192,-816,762,1372,synthetic,ECI_aggregate_estimate
PC507,Goa,Goa 444,4616,2850,1766,1084,580,963,synthetic,ECI_aggregate_estimate
PC508,Arunachal Pradesh,Arunachal Pradesh 445,1696,716,980,-264,106,412,synthetic,ECI_aggregate_estimate
PC509,Mizoram,Mizoram 446,3538,2039,1499,540,499,449,synthetic,ECI_aggregate_estimate
PC510,Sikkim,Sikkim 447,5197,2104,3093,-989,739,554,synthetic,ECI_aggregate_estimate
PC511,Jammu and Kashmir,Jammu and Kashmir 448,4117,2198,1919,279,253,421,synthetic,ECI_aggregate_estimate
PC512,Ladakh,Ladakh 449,7074,3523,3551,-28,423,1735,synthetic,ECI_aggregate_estimate
PC513,Uttar Pradesh,Uttar Pradesh 450,2957,1420,1537,-117,421,629,synthetic,ECI_aggregate_estimate
PC514,Maharashtra,Maharashtra 451,1872,926,946,-20,137,418,synthetic,ECI_aggregate_estimate
PC515,West Bengal,West Bengal 452,3876,1583,2293,-710,500,726,synthetic,ECI_aggregate_estimate
PC516,Bihar,Bihar 453,4968,2932,2036,896,496,751,synthetic,ECI_aggregate_estimate
PC517,Madhya Pradesh,Madhya Pradesh 454,1519,960,559,401,86,228,synthetic,ECI_aggregate_estimate
PC518,Tamil Nadu,Tamil Nadu 455,2969,1176,1793,-617,265,661,synthetic,ECI_aggregate_estimate
PC519,Rajasthan,Rajasthan 456,5115,2003,3112,-1109,279,959,synthetic,ECI_aggregate_estimate
PC520,Karnataka,Karnataka 457,5537,3114,2423,691,653,1203,synthetic,ECI_aggregate_estimate
